id,full_name,p_b,job,country,state,city,marketing,series,no_of_units,warranty
1516,Mel Buller,Personal,Student,Canada,Ontario,Willowdale,Offline,XPS,1,12
1517,Broderick Harradine,Business,Chef,United States,California,Whittier,Tech Blogs,Servers,59,24
1518,Merwyn Cavilla,Personal,Software Engineer,United States,California,San Jose,Offline,Servers,1,24
1519,Erin Browning,Business,Student,Canada,Ontario,South River,Social Networks,XPS,49,12
1520,Bartolemo Tison,Business,Software Engineer,United States,California,Anaheim,Tech Blogs,Servers,95,12
1521,Melita Sponer,Personal,Chef,Canada,Ontario,Vaughan,Social Networks,XPS,1,12
1522,Madelene Maginn,Business,Software Engineer,Canada,Ontario,Ingersoll,Offline,XPS,90,6
1523,Hedwiga Raffan,Business,Student,United States,California,Sacramento,Tech Blogs,Servers,24,6
1524,Nickey Beldam,Personal,Chef,United States,California,Fresno,Offline,Servers,1,24
1525,Malissa McFall,Business,Software Engineer,Canada,Ontario,Bells Corners,Social Networks,XPS,44,6
1526,Andree Blowen,Business,Student,United States,California,Van Nuys,Social Networks,Alienware,85,24
1527,Garrott Maclean,Business,Software Engineer,United States,California,Oakland,Recommendation,Servers,38,12
1528,Trixi Grunder,Personal,Game developer,Canada,Ontario,Thessalon,Social Networks,XPS,2,6
1529,Emanuele Godber,Personal,Chef,Canada,Ontario,Windsor,Recommendation,XPS,2,12
1530,Gerald Tantrum,Personal,Game developer,Canada,Ontario,Smiths Falls,Tech Blogs,XPS,1,24
1531,Yves Warmington,Personal,Chef,United States,California,San Jose,Offline,Servers,1,24
1532,Alleyn Cowely,Personal,Student,United States,California,Sacramento,Offline,Servers,2,12
1533,Annie Botly,Business,Game developer,United States,California,Corona,Tech Blogs,Servers,80,36
1534,Buckie Dinnage,Business,Software Engineer,Canada,Ontario,Hanover,Offline,XPS,74,12
1535,Inez Chancellor,Business,Game developer,United States,California,Long Beach,Offline,Servers,26,36
1536,Helli Vials,Personal,Student,United States,California,Carlsbad,Social Networks,Servers,1,24
1537,Beverley Thornber,Personal,Game developer,United States,California,San Diego,Offline,XPS,1,12
1538,Rudy Hullah,Business,Student,United States,California,Long Beach,Recommendation,Servers,21,36
1539,Ava Carpenter,Business,Software Engineer,United States,California,Simi Valley,Tech Blogs,Servers,42,6
1540,Catharine Vicioso,Personal,Game developer,United States,California,San Jose,Tech Blogs,Servers,2,24
1541,Nadine de'-Ancy Willis,Personal,Chef,Canada,Ontario,Prince Edward,Offline,XPS,2,24
1542,Debee Cuthill,Personal,Software Engineer,United States,California,Santa Monica,Offline,Servers,1,6
1543,Cloe Bazley,Business,Game developer,United States,California,San Francisco,Social Networks,Servers,90,24
1544,Tami Gascoine,Business,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,64,6
1545,Chryste Chinnery,Personal,Student,United States,California,Whittier,Recommendation,Servers,2,24
1546,Boone Tunbridge,Personal,Software Engineer,Canada,Ontario,Rayside-Balfour,Social Networks,XPS,1,36
1547,Antoni Wallentin,Business,Chef,United States,California,Fresno,Tech Blogs,Servers,83,24
1548,Clerc Royste,Personal,Student,United States,California,Sacramento,Tech Blogs,Servers,2,36
1549,Bette-ann Douty,Business,Software Engineer,Canada,Ontario,Gananoque,Recommendation,Alienware,90,24
1550,Jayne Owen,Business,Software Engineer,United States,California,Long Beach,Tech Blogs,Servers,63,36
1551,Aron Jacquot,Personal,Game developer,United States,California,Salinas,Social Networks,Servers,2,36
1552,Bruno McEwan,Business,Student,United States,California,Los Angeles,Offline,Servers,81,6
1553,Randi Kunc,Personal,Student,Canada,Ontario,Atikokan,Recommendation,XPS,2,36
1554,Berky Muscroft,Business,Game developer,United States,California,San Francisco,Recommendation,XPS,23,36
1555,Basile Stainfield,Personal,Game developer,Canada,Ontario,North Bay,Tech Blogs,XPS,2,12
1556,Ronda Slowley,Business,Software Engineer,United States,California,San Rafael,Recommendation,Servers,88,24
1557,Ethe McKleod,Business,Student,United States,California,San Diego,Offline,Servers,91,24
1558,Marlowe Ickeringill,Personal,Student,United States,California,San Bernardino,Social Networks,Servers,2,24
1559,Artus Stailey,Personal,Chef,Canada,Ontario,Midland,Recommendation,XPS,1,24
1560,Gerhardt Fairtlough,Personal,Student,Canada,Ontario,Carleton Place,Recommendation,XPS,1,12
1561,Janet Guly,Business,Chef,Canada,Ontario,Ingersoll,Social Networks,XPS,36,24
1562,Blair Ezzy,Personal,Game developer,United States,California,Sacramento,Offline,Servers,1,12
1563,Audra Maitland,Business,Student,Canada,Ontario,Deep River,Recommendation,XPS,89,36
1564,Harrison Raith,Personal,Software Engineer,United States,California,Lancaster,Social Networks,Servers,2,24
1565,Lorenzo Bohan,Personal,Chef,Canada,Ontario,Dorchester,Tech Blogs,Inspiron,1,6
1566,Shaylynn Caville,Personal,Software Engineer,India,Andhra Pradesh,Agraharam,Recommendation,Inspiron,1,24
1567,Aundrea Ivakhno,Business,Chef,Canada,Ontario,Niagara Falls,Social Networks,Alienware,25,6
1568,Carmencita Sumnall,Business,Student,United States,California,Sacramento,Tech Blogs,Servers,97,36
1569,Lewie Cromett,Business,Chef,Canada,Ontario,Amherstburg,Social Networks,XPS,46,36
1570,Farrand Frie,Business,Software Engineer,Canada,Ontario,Oakville,Offline,XPS,64,24
1571,Dulci Cadany,Personal,Student,United States,California,Corona,Tech Blogs,Servers,2,24
1572,Anselm Christofol,Personal,Chef,Canada,Ontario,Parry Sound,Social Networks,XPS,2,36
1573,Arnaldo Rake,Personal,Student,United States,California,Sacramento,Tech Blogs,Servers,2,24
1574,Bunny MacGillreich,Personal,Student,United States,California,San Diego,Tech Blogs,Servers,2,6
1575,Elliot Poynser,Personal,Student,United States,California,Whittier,Social Networks,Servers,2,6
1576,Geraldine MacClay,Personal,Game developer,Canada,Ontario,Belleville,Tech Blogs,XPS,1,12
1577,Filide Llorens,Personal,Chef,United States,California,Santa Barbara,Recommendation,Servers,2,6
1578,Brant Dradey,Business,Student,United States,California,San Francisco,Offline,Servers,74,6
1579,Jehanna Piniur,Business,Student,United States,California,Corona,Social Networks,Servers,65,36
1580,Billye Idle,Personal,Chef,United States,California,Fresno,Recommendation,Servers,2,24
1581,Maurizio Gilhouley,Business,Student,Canada,Ontario,Picton,Social Networks,XPS,60,24
1582,Virgina Piperley,Personal,Student,Canada,Ontario,Ajax,Recommendation,XPS,1,24
1583,Lamont Walby,Personal,Software Engineer,United States,California,Inglewood,Recommendation,Servers,2,24
1584,Travus Flewitt,Personal,Student,Canada,Ontario,Rayside-Balfour,Social Networks,XPS,1,12
1585,Chaddie Bonhill,Business,Game developer,Canada,Ontario,Rayside-Balfour,Tech Blogs,XPS,33,6
1586,Amelie Boyda,Business,Software Engineer,Canada,Ontario,Omemee,Recommendation,XPS,87,36
1587,Shantee O' Gara,Personal,Student,United States,California,Lancaster,Offline,Servers,1,24
1588,Flora Fleming,Personal,Chef,Canada,Ontario,Markham,Offline,XPS,1,24
1589,Paulina Broxton,Business,Student,United States,California,Garden Grove,Tech Blogs,Alienware,67,36
1590,Sherilyn Towsey,Personal,Chef,Canada,Ontario,Woodstock,Recommendation,XPS,1,24
1591,Rianon Yurin,Personal,Software Engineer,United States,California,Los Angeles,Offline,Servers,1,12
1592,Ephraim Girardy,Business,Student,Canada,Ontario,Port Colborne,Offline,XPS,86,36
1593,Killie Farndon,Personal,Game developer,United States,California,Whittier,Recommendation,Servers,2,24
1594,Sib Maffezzoli,Business,Software Engineer,Canada,Ontario,Thessalon,Social Networks,XPS,20,24
1595,Francklyn Ottee,Personal,Chef,United States,California,Sacramento,Offline,Servers,2,6
1596,Hedwig Andrault,Business,Chef,United States,California,Oakland,Recommendation,Servers,22,24
1597,Derick Lanbertoni,Personal,Software Engineer,Canada,Ontario,North York,Tech Blogs,XPS,1,6
1598,Adrienne Mewe,Business,Chef,United States,California,Stockton,Offline,Servers,88,12
1599,Griffy Canaan,Business,Game developer,United States,California,San Jose,Social Networks,Servers,54,12
1600,Ardella Casarili,Personal,Student,Canada,Ontario,North Bay,Tech Blogs,XPS,2,24
1601,Kelcie Burdas,Personal,Software Engineer,United States,California,Sacramento,Social Networks,Servers,2,24
1602,Abigail Margach,Business,Software Engineer,United States,California,Mountain View,Recommendation,Servers,23,24
1603,Red Mosley,Business,Student,Canada,Ontario,Prince Edward,Tech Blogs,XPS,95,24
1604,Carey Storkes,Personal,Software Engineer,Canada,Ontario,Bancroft,Recommendation,XPS,2,36
1605,Bealle Dongall,Business,Software Engineer,Canada,Ontario,Port Colborne,Offline,XPS,67,6
1606,Nonnah Battill,Business,Software Engineer,Canada,Ontario,Norfolk County,Tech Blogs,XPS,59,12
1607,Mariel Arlidge,Business,Student,Canada,Ontario,Collingwood,Social Networks,XPS,27,6
1608,Cleon Kose,Personal,Chef,Canada,Ontario,Collingwood,Social Networks,XPS,1,36
1609,Cherie Sobieski,Personal,Student,Canada,Ontario,Deep River,Tech Blogs,XPS,1,6
1610,Merridie Klemensiewicz,Business,Game developer,Canada,Ontario,St. Thomas,Recommendation,XPS,54,12
1611,Ambur Flageul,Business,Game developer,Canada,Ontario,Collingwood,Social Networks,XPS,65,36
1612,Jewelle Simison,Business,Software Engineer,United States,California,Pasadena,Recommendation,Servers,53,36
1613,Doyle Antognoni,Personal,Software Engineer,Canada,Ontario,Wingham,Tech Blogs,XPS,2,12
1614,Carlyn Meredyth,Personal,Game developer,United States,California,Lancaster,Tech Blogs,Servers,2,6
1615,Dev Bewshire,Personal,Student,Canada,Ontario,Smiths Falls,Tech Blogs,XPS,1,12
1616,Urban Benitez,Personal,Student,United States,California,Orange,Tech Blogs,Servers,1,24
1617,Aurelea Armatage,Personal,Software Engineer,United States,California,San Diego,Tech Blogs,Servers,2,36
1618,Devon Foottit,Personal,Software Engineer,United States,California,San Diego,Recommendation,Servers,2,36
1619,Aland Garforth,Business,Student,Canada,Ontario,Toronto,Tech Blogs,XPS,61,12
1620,Camel Carnihan,Business,Student,United States,California,Salinas,Tech Blogs,Servers,53,12
1621,Alameda Mulrooney,Personal,Software Engineer,Canada,Ontario,Midland,Offline,XPS,1,36
1622,Shea Minmagh,Business,Game developer,Canada,Ontario,Midland,Tech Blogs,XPS,69,6
1623,Hatti Prettyjohn,Business,Software Engineer,Canada,Ontario,North Bay,Offline,XPS,84,36
1624,Karalynn Yushkov,Personal,Chef,Canada,Ontario,St. Catharines,Tech Blogs,Inspiron,2,6
1625,Early Stubbert,Personal,Game developer,Canada,Ontario,Hearst,Recommendation,XPS,2,36
1626,Fleur Carver,Personal,Student,Canada,Ontario,Deep River,Recommendation,XPS,2,6
1627,Molli Cristofaro,Personal,Game developer,India,Andhra Pradesh,Agraharam,Offline,Inspiron,1,24
1628,Roderick Strelitz,Business,Student,Canada,Ontario,Niagara Falls,Social Networks,XPS,79,24
1629,Karie Rosier,Personal,Chef,United States,California,Los Angeles,Offline,Servers,2,6
1630,Letitia Biggs,Business,Game developer,United States,California,Garden Grove,Social Networks,Servers,38,6
1631,Beulah Bambridge,Business,Software Engineer,United States,California,Sacramento,Offline,Servers,84,12
1632,Robb Pickles,Business,Student,United States,California,Irvine,Recommendation,Servers,61,36
1633,Chariot Brehaut,Personal,Chef,United States,California,Long Beach,Offline,Servers,2,36
1634,Augusto Revie,Personal,Game developer,United States,California,San Bernardino,Social Networks,Servers,2,24
1635,Willabella Fennell,Business,Student,United States,California,San Jose,Offline,Servers,68,24
1636,Helenelizabeth Churchouse,Personal,Game developer,United States,California,Corona,Recommendation,Servers,1,36
1637,Margalo Zisneros,Business,Software Engineer,United States,California,Bakersfield,Recommendation,Servers,69,12
1638,Dukie Staniforth,Business,Game developer,United States,California,Los Angeles,Recommendation,Servers,40,12
1639,Anthony Pettiford,Personal,Chef,United States,California,Sacramento,Offline,Servers,2,36
1640,Matt Manon,Personal,Software Engineer,India,Andhra Pradesh,Agraharam,Tech Blogs,Inspiron,2,12
1641,Arlyn MacInherney,Personal,Software Engineer,United States,California,Pasadena,Recommendation,Servers,1,6
1642,Stefanie Moulsdall,Business,Student,Canada,Ontario,Woodstock,Offline,XPS,38,6
1643,Concordia Skingle,Personal,Student,United States,California,San Diego,Recommendation,Servers,1,36
1644,Cheryl Meech,Personal,Software Engineer,United States,California,Fresno,Tech Blogs,Servers,2,12
1645,Oberon Boddam,Business,Software Engineer,Canada,Ontario,Greater Napanee,Offline,XPS,26,36
1646,Mateo Keilloh,Personal,Game developer,United States,California,Inglewood,Recommendation,Servers,1,12
1647,Corey Orviss,Business,Student,United States,California,Orange,Social Networks,Servers,46,12
1648,Maire Jaspar,Personal,Student,Canada,Ontario,Iroquois Falls,Tech Blogs,XPS,2,24
1649,Mia O'Gavin,Business,Student,United States,California,Oakland,Offline,Servers,44,24
1650,Conny Eliet,Personal,Game developer,United States,California,Inglewood,Social Networks,Servers,1,12
1651,Chickie Ponton,Business,Software Engineer,United States,California,Corona,Recommendation,Servers,69,12
1652,Alameda Binyon,Personal,Software Engineer,Canada,Ontario,St. Catharines,Offline,XPS,1,6
1653,Dari Brissard,Business,Chef,United States,California,Los Angeles,Social Networks,Servers,47,24
1654,Dawn Phateplace,Business,Student,United States,California,Anaheim,Recommendation,Servers,67,12
1655,Feliza Denisard,Business,Software Engineer,Canada,Ontario,Innisfil,Offline,XPS,58,36
1656,Jania Teggin,Personal,Software Engineer,Canada,Ontario,Belleville,Recommendation,Inspiron,2,12
1657,Cleve Frosdick,Personal,Chef,United States,California,Corona,Social Networks,Servers,1,6
1658,Adore Wadelin,Personal,Game developer,United States,California,San Diego,Recommendation,Servers,1,36
1659,Karolina Brambell,Business,Game developer,United States,California,Van Nuys,Offline,Servers,28,36
1660,Lesli Haborn,Personal,Software Engineer,Canada,Ontario,Napanee Downtown,Offline,XPS,2,6
1661,Leicester Gyngyll,Business,Student,United States,California,Santa Cruz,Offline,Servers,40,24
1662,Rayshell Andryunin,Personal,Software Engineer,United States,California,Anaheim,Offline,Servers,1,12
1663,Kala Ryhorovich,Business,Student,United States,California,Sacramento,Offline,Servers,79,36
1664,Jessee Regenhardt,Business,Student,Canada,Ontario,Ottawa,Tech Blogs,XPS,95,24
1665,Vince Bernardo,Personal,Software Engineer,United States,California,Chico,Recommendation,Servers,1,6
1666,Mead Seatter,Personal,Software Engineer,Canada,Ontario,Thorold,Tech Blogs,XPS,1,6
1667,Lexi Shier,Personal,Chef,Canada,Ontario,Waterloo,Social Networks,XPS,2,6
1668,Marrissa Gallo,Personal,Student,United States,California,San Diego,Tech Blogs,Servers,1,6
1669,Simeon Beaby,Business,Game developer,United States,California,San Diego,Social Networks,Servers,29,6
1670,Farrel Kitcherside,Personal,Student,United States,California,San Jose,Offline,Servers,2,6
1671,Patsy Wabersich,Personal,Game developer,Canada,Ontario,Omemee,Tech Blogs,XPS,1,12
1672,Gaby Lackner,Personal,Student,United States,California,Garden Grove,Tech Blogs,Servers,2,12
1673,Errol Goosey,Personal,Game developer,Canada,Ontario,London,Offline,XPS,2,6
1674,Sheff Mateuszczyk,Personal,Student,Canada,Ontario,Thessalon,Tech Blogs,XPS,2,36
1675,Violet Schinetti,Business,Software Engineer,United States,California,Santa Barbara,Tech Blogs,Servers,61,12
1676,Demetrius Faint,Business,Software Engineer,United States,California,Pasadena,Offline,Servers,72,12
1677,Burt Keddle,Business,Software Engineer,Canada,Ontario,Milton,Offline,XPS,77,24
1678,Grenville Nutt,Business,Student,United States,California,Anaheim,Social Networks,Servers,60,36
1679,Bambie Kilcullen,Business,Software Engineer,United States,California,Sacramento,Social Networks,Servers,89,24
1680,Rosanne Delves,Business,Student,United States,California,Fresno,Recommendation,Servers,31,6
1681,Kristoforo Suttill,Business,Game developer,United States,California,Pasadena,Offline,Servers,38,6
1682,Atlante Nelsen,Personal,Game developer,United States,California,Alhambra,Social Networks,Alienware,2,12
1683,Lindy Vigurs,Business,Software Engineer,Canada,Ontario,Deep River,Tech Blogs,XPS,36,24
1684,Bel Wagstaffe,Personal,Game developer,Canada,Ontario,South River,Social Networks,XPS,1,12
1685,Jay Kryzhov,Business,Student,United States,California,Anaheim,Social Networks,Alienware,68,36
1686,Bernardina Clive,Personal,Game developer,Canada,Ontario,Collingwood,Offline,XPS,1,6
1687,D'arcy Cotta,Business,Game developer,Canada,Ontario,Espanola,Recommendation,XPS,58,12
1688,Mariellen Morstatt,Business,Software Engineer,Canada,Ontario,Espanola,Tech Blogs,XPS,29,24
1689,Riobard Baggelley,Business,Chef,United States,California,Inglewood,Recommendation,Servers,38,6
1690,Gilberto Keeri,Business,Student,Canada,Ontario,Thorold,Offline,XPS,32,12
1691,Devi Seebert,Business,Chef,Canada,Ontario,Oakville,Social Networks,XPS,76,12
1692,Sophronia Mc Ilwrick,Business,Chef,United States,California,Stockton,Offline,Servers,43,24
1693,Shara Hardingham,Personal,Chef,United States,California,Pasadena,Offline,Servers,2,6
1694,Arabela Yanez,Personal,Student,Canada,Ontario,Mattawa,Offline,XPS,1,6
1695,Torrin Menlow,Personal,Game developer,United States,California,Los Angeles,Social Networks,Servers,2,24
1696,Gery Statton,Business,Software Engineer,Canada,Ontario,Markham,Recommendation,XPS,96,6
